	order_in_text	sentences	tf_idf
981	982	Ни жалобы, ни упрека, ни боли самолюбия я не знал	2.5340224759601897
63	64	Глубоко-глубоко под ними покоилось море	2.533951662703341
253	254	Но у князя правда чудесно переплелась с вымыслом	2.5328870493818516
828	829	Говорил он одними челюстями, губы у него были белые и не двигались, как у мертвого — Трудно выговорить такую	2.531630576900926
556	557	К тому же потребность, прямо физическая потребность материнства, и чтобы начать вить свое гнездо	2.53090879598227
170	171	не бранитесь, — говорил он, перемежая каждое слово вздохами, происходившими от давнишней одышки	2.530177142590427
541	542	Что бы я был такое, если бы не этот мерзкий случай	2.5284881906406182
523	524	Я давно догадывался	2.5284881906406182
603	604	Как и всегда в этих случаях, было много выпито	2.5284881906406182
467	468	конечно, объяснились	2.528488190640618
94	95	Тишина такая	2.528488190640618
180	181	Ужасно рад	2.528488190640618
806	807	— кончается	2.528488190640618
409	410	— Осень	2.528488190640618
34	35	Она была на полголовы ниже сестры, несколько широкая в плечах, живая и легкомысленная, насмешница	2.5280270477495597
372	373	Твой взгляд, как ядовитый змей, впился в мою истерзанную душу» и так далее	2.5269464737564027
127	128	А мужчины пусть сюда уходят курить — Будет кто-нибудь интересный	2.5252548061101123
343	344	Мы хотим приютить этих несчастных детей с душами, полными наследственных пороков и дурных примеров, хотим обогреть их, обласкать — Гм	2.524862355357011
730	731	Кроме того, нам известно, что он где-то служит	2.52453962384481
370	371	Начинается оно так: «Прекрасная Блондина, ты, которая	2.523254713931707
750	751	Пойдут слухи, сплетни	2.523223434912874
53	54	— засмеялась Анна и, быстро подойдя к самому краю обрыва, отвесной стеной падавшего глубоко в море, заглянула вниз и вдруг вскрикнула в ужасе и отшатнулась назад с побледневшим лицом — У, как высоко	2.5212065010685487
325	326	Женни Рейтер, очень требовательная музыкантша, всегда охотно ему аккомпанировала	2.5196950823914883
656	657	Пойми, она целует, обнимает, отдается — и она уже мать	2.5193366925284835
226	227	— должность более почетную, чем нужную в целях государственной обороны В городе его все знали от мала до велика и добродушно посмеивались над его слабостями, привычками и манерой одеваться	2.5189906405496165
649	650	На ночлегах под дождем, в грязи, он укутывал его своей шинелью	2.518922224311826
429	430	Масла уже оставалось не более половины, но, судя по его дороговизне, было еще, по крайней мере, на двадцать червонцев	2.518846200053172
247	248	Детей у них не было Против ожидания, вечер был так тих и тепел, что свечи на террасе и в столовой горели неподвижными огнями	2.5172100263152157
427	428	«Какое-то масло, ваше высокоблагородие, клали его в кашу, да не годится, так и дерет рот, а пахнет оно хорошо»	2.517073323357129
513	514	И кожа на щеках нежная, шейка белая такая, невинная, и руки мяконькие, тепленькие	2.5164272661494924
254	255	Серьезного, всегда несколько чопорного Николая он заставил ночью бежать по улице в одних чулках, с башмаками под мышкой	2.51618473864927
8	9	Сразу наступили тихие безоблачные дни, такие ясные, солнечные и теплые, каких не было даже в июле	2.5159654928415858
498	499	— Сколько раз я в жизни наблюдал: как только стукнет даме под пятьдесят, а в особенности если она вдова или старая девка, то так и тянет ее около чужой любви покрутиться	2.5155198425584047
220	221	Радецкий и Скобелев знали его лично и относились к нему с исключительным уважением	2.514592860639126
525	526	Смотри только береги это сокровище	2.5132356937870597
985	986	Сладкой грустью, тихой, прекрасной грустью обвеяны мои последние воспоминания	2.5114740898712697
421	422	— Аносов нагнул голову к борту шинели, понюхал цветы и вдруг улыбнулся славной старческой улыбкой — Пришли мы, помню я, в Букарест и разместились по квартирам	2.5106853843903765
903	904	Вы его забыли на стуле на балу в Благородном собрании	2.5101851944163482
260	261	Все показанное нами на суде под присягой — сплошная ложь, к которой нас принудил угрозами и насилием господин прокурор	2.509964604540486
765	766	Завтра, Василий Львович, ты подожди меня в своей канцелярии, я сообщу тебе по телефону Заплеванная лестница пахла мышами, кошками, керосином и стиркой	2.509595201733376
402	403	Звездчатые цветы белого табака в палисаднике запахли острее из темноты и прохлады Спешников, вице-губернатор и полковник Понамарев давно уже уехали, обещав прислать лошадей обратно со станции трамвая за комендантом	2.507536547047002
431	432	Это был кофе; я сказал им: «Это только годится туркам, а солдатам нейдет»	2.507071766078198
939	940	Потом он объяснил, что ему предлагали место управляющего в экономии	2.506778526556592
418	419	Отсюда слышу	2.5056094453602804
101	102	Я боюсь только, понравится ли	2.5056094453602804
187	188	Когда крестить позовешь	2.5056094453602804
597	598	Ходит за ней, как привидение	2.5056094453602804
82	83	Такая красота, такая легкость	2.5056094453602804
451	452	Приметив, что у меня делается помрачение ума, закричал, чтобы подали мне воды, помочил голову, и рассудок мой воротился — Воображаю, Яков Михайлович, сколько вы там побед одержали над женщинами, — сказала пианистка Женни Рейтер	2.5055445929204803
49	50	Представь себе — резедой Вера ласково усмехнулась: — Ты фантазерка — Нет, нет	2.503329495811748
601	602	Говорят, целые ночи простаивал под ее окнами И вот однажды весной устроили они в полку какую-то маевку или пикник	2.499247427354964
400	401	Только над головой большие звезды дрожали своими ресницами среди черной ночи, да голубой луч от маяка подымался прямо вверх тонким столбом и точно расплескивался там о небесный купол жидким, туманным, светлым кругом	2.4989583423657598
472	473	Увидев меня, она стала притворяться, что перебирает сухие лепестки роз, которые, надо сказать, тамошние жители собирают целыми мешками	2.498338280811357
41	42	Отправляясь на большие балы, она обнажалась гораздо больше пределов, дозволяемых приличием и модой, но говорили, что под низким декольте у нее всегда была надета власяница Вера же была строго проста, со всеми холодно и немного свысока любезна, независима и царственно спокойна — Боже мой, как у вас здесь хорошо	2.498251406763124
300	301	Но, однако, дочитала письмо «Я бы никогда не позволил себе преподнести Вам что-либо, выбранное мною лично: для этого у меня нет ни права, ни тонкого вкуса и — признаюсь — ни денег	2.497683928203837
464	465	А также объяснила и про канарейку: до чего я был несообразителен	2.497253506488543
653	654	Ей-богу, хотя и грех вспоминать, но все обрадовались, когда узнали, что Вишняков скончался в госпитале от тифа — Ну, а женщин, дедушка, женщин вы встречали любящих	2.4969388504677785
289	290	Полчаса времени будет — Ну хорошо, идите Она разрезала ножницами ленту и бросила в корзину вместе с бумагой, на которой был написан ее адрес	2.49561957006493
521	522	» А у папы уже и глаза мокрые, и уж целоваться лезет	2.494348945206823
565	566	Любовь бескорыстная, самоотверженная, не ждущая награды	2.4922041721284685
146	147	— Мы давеча взвешивали Рыба была слишком велика для лоханки и лежала на дне, завернув хвост	2.4919095013123083
222	223	Его хотели было по истечении двух лет мирной службы упечь в отставку, но Аносов заупрямился	2.490555695714179
230	231	По театру проносился сдержанный смех, но генерал даже и не подозревал этого: по своей наивности он думал, что шепотом обменялся со своим соседом свежим впечатлением По обязанности коменданта он довольно часто, вместе со своими хрипящими мопсами, посещал главную гауптвахту, где весьма уютно за винтом, чаем и анекдотами отдыхали от тягот военной службы арестованные офицеры	2.4895386775360904
358	359	«Ребенок рос, его назвали Лима» На листке альбома красовалась умышленно по-детски нарисованная фигура девочки, с лицом в профиль, но с двумя глазами, с ломаными черточками, торчащими вместо ног из-под юбки, с растопыренными пальцами разведенных рук — Никогда меня никто не называл Лимой, — засмеялась Людмила Львовна — Часть вторая	2.4892409029138487
593	594	Если он сейчас выскочил невредим — все равно в будущем считай его погибшим	2.4872973727783645
489	490	А потом оглянулся — и вижу, что я уже развалина	2.4868419451045174
516	517	А когда уходишь — за дверями этакие быстрые поцелуйчики	2.486070408175178
423	424	Вдруг повеял на меня сильный розовый запах, я остановился и увидал, что между двух солдат стоит прекрасный хрустальный флакон с розовым маслом	2.4858565069935024
515	516	А тут папа-мама ходят вокруг, за дверями подслушивают, глядят на тебя грустными такими, собачьими, преданными глазами	2.4856339276349333
250	251	Он брал в основу рассказа истинный эпизод, где главным действующим лицом являлся кто-нибудь из присутствующих или общих знакомых, но так сгущал краски и при этом говорил с таким серьезным лицом и таким деловым тоном, что слушатели надрывались от смеха	2.4842956658697535
64	65	Со скамейки не было видно берега, и оттого ощущение бесконечности и величия морского простора еще больше усиливалось	2.483781263936278
212	213	В нем совмещались именно те простые, но трогательные и глубокие черты, которые даже и в его времена гораздо чаще встречались в рядовых, чем в офицерах, те чисто русские, мужицкие черты, которые в соединении дают возвышенный образ, делавший иногда нашего солдата не только непобедимым, но и великомучеником, почти святым, — черты, состоявшие из бесхитростной, наивной веры, ясного, добродушно-веселого взгляда на жизнь, холодной и деловой отваги, покорства перед лицом смерти, жалости к побежденному, бесконечному терпению и поразительной физической и нравственной выносливости Аносов, начиная с польской войны, участвовал во всех кампаниях, кроме японской	2.4833614644097723
900	901	Воображаю, какое он впечатление произвел на Ваших гостей Через десять минут я уеду, я успею только наклеить марку и опустить письмо в почтовый ящик, чтобы не поручать этого никому другому	2.481841108966295
365	366	Юнкер малодушно сваливает всю беду на кроткую Лиму Ты там все пудрилась, час лишний провороня, И вот за нами вслед ужасная погоня Как хочешь с ней разделывайся ты, А я бегу в кусты После истории девицы Лимы следовала новая повесть: «Княгиня Вера и влюбленный телеграфист» — Эта трогательная поэма только лишь иллюстрирована пером и цветными карандашами, — объяснял серьезно Василий Львович	2.4805930956188975
619	620	самым подлым образом	2.4790149131546766
718	719	— Николай приподнял красный футляр со стола и тотчас же брезгливо бросил его на место, — что эта чудовищная поповская штучка останется у нас, или мы ее выбросим, или подарим Даше	2.478881827743584
777	778	Вдоль одной стены стояла узенькая кровать, вдоль другой очень большой и широкий диван, покрытый истрепанным прекрасным текинским ковром, посередине — стол, накрытый цветной малороссийской скатертью Лица хозяина сначала не было видно: он стоял спиною к свету и в замешательстве потирал руки	2.478863756657659
471	472	Видите ли: всюду, где мы останавливались на постой, городские жители имели свои исключения и прибавления, но в Букаресте так коротко обходились с нами жители, что когда однажды я стал играть на скрипке, то девушки тотчас нарядились и пришли танцевать, и такое обыкновение повелось на каждый день Однажды, во время танцев, вечером, при освещении месяца, я вошел в сенцы, куда скрылась и моя болгарочка	2.4775486832507263
278	279	Даша положила на стол небольшой квадратный предмет, завернутый аккуратно в белую бумагу и тщательно перевязанный розовой ленточкой — Я, ей-богу, не виновата, ваше сиятельство, — залепетала она, вспыхнув румянцем от обиды	2.477316055174847
246	247	Генерал посылал ей пенсию вплоть до самой ее смерти, но в дом к себе не пустил, несмотря на сцены раскаяния и слезные письма	2.4771994625769334
685	686	Сначала письма его носили вульгарный и курьезно пылкий характер, хотя и были вполне целомудренны	2.4766327182650025
764	765	А в прежнее время я бы просто велел отвести его на конюшню и наказать розгами	2.4762947849211945
450	451	Однажды поутру, когда я встал с постели, представилось мне, что я не Яков, а Николай, и никак я не мог себя переуверить в том	2.475160392582932
635	636	Наши дамы провожали нас, провожала и она, и, право, даже смотреть было совестно: хотя бы для приличия взглянула разок на мужа, — нет, повесилась на своем поручике, как черт на сухой вербе, и не отходит	2.474104812633191
659	660	Виноваты мужчины, в двадцать лет пресыщенные, с цыплячьими телами и заячьими душами, неспособные к сильным желаниям, к героическим поступкам, к нежности и обожанию перед любовью	2.4726775271599726
441	442	И видишь: страх-то остается всегда один и тот же, а уменье держать себя от практики все возрастает; отсюда и герои и храбрецы	2.4716369748250475
741	742	Поеду к жандармскому полковнику	2.4715894482509593
35	36	Лицо ее сильно монгольского типа с довольно заметными скулами, с узенькими глазами, которые она к тому же по близорукости щурила, с надменным выражением в маленьком, чувственном рте, особенно в слегка выдвинутой вперед полной нижней губе, — лицо это, однако, пленяло какой-то неуловимой и непонятной прелестью, которая заключалась, может быть, в улыбке, может быть, в глубокой женственности всех черт, может быть, в пикантной, задорно-кокетливой мимике	2.471526967433995
241	242	Если случалось, что барышни выезжали куда-нибудь или служба задерживала самого генерала, то он искренно тосковал и не находил себе места в больших комнатах комендантского дома	2.4694972339950656
223	224	Тут ему очень кстати помог своим влиянием начальник края, живой свидетель его хладнокровного мужества при переправе через Дунай	2.4690912622181567
430	431	Солдаты, будучи довольны, добавили: «Да вот еще, ваше высокоблагородие, какой-то турецкий горох, сколько его ни варили, а все не подается, проклятый»	2.468806943328929
317	318	Однако он не устоял перед просьбами и в конце концов согласился Сначала его приходилось учить и поправлять, но он довольно быстро освоился с правилами покера, и вот не прошло и получаса, как все фишки очутились перед ним — Так нельзя	2.468666694868741
66	67	А дальше точно стояло в воздухе, не подвигаясь вперед, трехмачтовое судно, все сверху донизу одетое однообразными, выпуклыми от ветра, белыми стройными парусами — Я тебя понимаю, — задумчиво сказала старшая сестра, — но у меня как-то не так, как у тебя	2.4684386929523634
975	976	Она узнала с первых аккордов это исключительное, единственное по глубине произведение	2.4676355146017204
643	644	Под Зелеными Горами он шесть раз водил свою роту на турецкий редут, и у него от двухсот человек осталось только четырнадцать	2.466103861664184
757	758	— Ты слишком мягок	2.466018822336468
944	945	В семь часов он всегда пил чай	2.466018822336468
374	375	Не смею открывать моей полной фамилии — она слишком неприлична	2.463386444472596
75	76	И вдруг как-то сразу окончился лес, и мы вышли из тумана	2.463064027843063
112	113	Правда, я нашла только один переплет, остальное все пришлось придумывать — листочки, застежки, карандаш	2.462856939607581
160	161	В левой руке он держал слуховой рожок, а в правой — палку с резиновым наконечником	2.462528356772721
965	966	И, раздвинув в обе стороны волосы на лбу мертвеца, она крепко сжала руками его виски и поцеловала его в холодный, влажный лоб долгим дружеским поцелуем Когда она уходила, то хозяйка квартиры обратилась к ней льстивым польским тоном: — Пани, я вижу, что вы не как все другие, не из любопытства только	2.461817653241747
699	700	Только дрожит и воняет, а радости никакой	2.4615866305963605
722	723	— Нет, нет, браслет надо непременно отослать обратно	2.46158663059636
255	256	Где-то на углу молодого человека задержал городовой, и только после длинного и бурного объяснения Николаю удалось доказать, что он товарищ прокурора, а не ночной грабитель	2.460601226130928
683	684	Однажды он обмолвился, что служит в каком-то казенном учреждении маленьким чиновником, — о телеграфе он не упоминал ни слова	2.459066401084626
30	31	Они с самого раннего детства были привязаны друг к другу теплой и заботливой дружбой	2.4580830401463296
463	464	Я предъявил ей квитанцию на постой и кстати уж спросил, почему у них целы стекла после канонады, и она мне объяснила, что это от воды	2.4561800169851202
532	533	Я даже этому актеришке в душе благодарен	2.4545386074351656
961	962	Она вспомнила, что то же самое умиротворенное выражение она видела на масках великих страдальцев — Пушкина и Наполеона — Если прикажете, пани, я уйду	2.454108687447123
294	295	Но зато посредине браслета возвышались, окружая какой-то странный маленький зеленый камешек, пять прекрасных гранатов-кабошонов, каждый величиной с горошину	2.4537913299263527
769	770	На лестничной площадке было так темно, что Николай Николаевич должен был два раза зажигать спички, пока не разглядел номера квартиры На его звонок отворила дверь полная, седая, сероглазая женщина в очках, с немного согнутым вперед, видимо, от какой-то болезни, туловищем — Господин Желтков дома	2.4526677268411397
951	952	Так вот исполните мою просьбу: вы можете этот браслет повесить на икону	2.4519062295712937
93	94	Точно из красного атласа и вышиты белым бисером	2.449867153501792
36	37	Ее грациозная некрасивость возбуждала и привлекала внимание мужчин гораздо чаще и сильнее, чем аристократическая красота ее сестры Она была замужем за очень богатым и очень глупым человеком, который ровно ничего не делал, но числился при каком-то благотворительном учреждении и имел звание камер-юнкера	2.4493759613064787
745	746	Приставит человеку палец к самому носу и рукой совсем не двигает, а только лишь один палец у него качается, и кричит: «Я, сударь, этого не потерплю-ю-ю	2.4493000813701777
547	548	Разве можно назвать наш брак несчастливым	2.4492821249288146
905	906	Программу художественной выставки, которую Вы однажды держали в руке и потом забыли на стуле при выходе	2.4486462749273548
620	621	Стал попрошайкой	2.448637769206862
945	946	Лукерья — прислуга — приходит и стучится, он не отвечает, потом еще раз, еще раз	2.446553739127172
590	591	Через месяц эта старая лошадь совсем овладела им	2.444849933188707
605	606	Вдруг навстречу им идет товарный поезд	2.444231278406743
876	877	Вчера вечером, около семи часов, покончил жизнь самоубийством чиновник контрольной палаты Г	2.443043225216496
198	199	Вынь-ка, Бахтинский, милый мой, там из коляски	2.4417913190844542
113	114	Но Моллине совсем не хотел меня понять, как я ему ни толковала	2.441791319084454
942	943	Потом пошел и опустил письмо в ящик, а потом мы слышим, будто бы из детского пистолета выстрелили	2.4416574427891384
242	243	Каждое лето он брал отпуск и проводил целый месяц в имении Тугановских, Егоровском, отстоявшем от К	2.438890404134119
142	143	Сегодня утром рыбак принес морского петуха	2.4387093552300234
109	110	Ты ведь знаешь мою слабость рыться в старинном хламе	2.4385982250162574
74	75	Попали сначала в облако, было очень сыро и плохо видно, а мы все поднимались вверх по крутой тропинке между соснами	2.4381961734310797
999	1000	И в это время удивительная музыка, будто бы подчиняясь ее горю, продолжала: «Успокойся, дорогая, успокойся, успокойся	2.4375548643888867
446	447	И самые обороты фраз, которыми он передавал свои военные воспоминания, принимали у него невольно странный, неуклюжий, несколько книжный характер	2.4370880588840826
16	17	Хорошо выходило, что именины совпали с дачным временем	2.4363420229343196
303	304	Это весьма редкий сорт граната — зеленый гранат	2.4357545607366182
17	18	В городе пришлось бы тратиться на большой парадный обед, пожалуй даже на бал, а здесь, на даче, можно было обойтись самыми небольшими расходами	2.435166903711623
487	488	Сначала все было некогда: молодость, кутежи, карты, война	2.434729260593422
700	701	Ну, прощай, Верочка	2.4325454275211613
788	789	Моя фамилия — Мирза-Булат-Тугановский	2.4325454275211613
200	201	Чем, Верочка, будешь кормить	2.4325454275211613
161	162	У него было большое, грубое, красное лицо с мясистым носом и с тем добродушно-величавым, чуть-чуть презрительным выражением в прищуренных глазах, расположенных лучистыми, припухлыми полукругами, какое свойственно мужественным и простым людям, видавшим часто и близко перед своими глазами опасность и смерть	2.4322594240516544
694	695	Подъехал Густав Иванович — Анночка, я захватил твои вещи	2.431938732713635
188	189	— Ой, боюсь, дедушка, что никогда — Не отчаивайся	2.430351946444285
759	760	А теперь, друзья мои, — он вынул карманные часы и поглядел на них, — вы извините меня, если я пойду на минутку к себе	2.4299193799305967
97	98	Нас ведь только двое на свете Она обняла старшую сестру и прижалась к ней, щека к щеке	2.4290300033954746
224	225	В Петербурге решили не огорчать заслуженного полковника, и ему дали пожизненное место коменданта в г	2.425744933181088
361	362	Там есть поистине жемчужной красоты строки: Твоя прекрасная нога  Явленье страсти неземной	2.4252309692158462
213	214	Он и на эту войну пошел бы без колебаний, но его не позвали, а у него всегда было великое по скромности правило: «Не лезь на смерть, пока тебя не позовут»	2.424461571135368
293	294	Почерк показался ей знакомым, но, как настоящая женщина, она сейчас же отложила записку в сторону, чтобы посмотреть на браслет Он был золотой, низкопробный, очень толстый, но дутый и с наружной стороны весь сплошь покрытый небольшими старинными, плохо отшлифованными гранатами	2.424453623912024
270	271	В обоих домах даже выработались на этот счет свои правила: всем играющим раздавались поровну костяные жетончики определенной цены, и игра длилась до тех пор, пока все костяшки не переходили в одни руки, — тогда игра на этот вечер прекращалась, как бы партнеры ни настаивали на продолжении	2.4227023435144344
705	706	Василий Львович сидел у ломберного стопа и, низко наклонив свою стриженую большую светловолосую голову, чертил мелком по зеленому сукну — Я давно настаивал	2.4222969124801565
396	397	И там, где падают на бумагу его слезы, там чернила расплываются кляксами Наконец он умирает, но перед смертью завещает передать Вере две телеграфные пуговицы и флакон от духов — наполненный его слезами — Господа, кто хочет чаю	2.421129068236841
148	149	Морской петух был еще жив и усиленно работал жабрами Младшая сестра осторожно дотронулась мизинцем до головы рыбы	2.419938226380906
934	935	Вы знаете, какие наши капиталы, когда отдаешь квартиры внаем холостякам	2.4190204633593297
976	977	И душа ее как будто бы раздвоилась	2.4175638158324397
640	641	стрекозиная душа	2.4175638158324397
462	463	После сего сознался сам себе, что я очень недогадлив Вошел я в дом и вижу прехорошенькую болгарочку	2.416221608941004
668	669	Помяни мое слово, что лет через тридцать женщины займут в мире неслыханную власть	2.416083934261499
782	783	Но в тот же момент, точно не замечая его приветствия, Николай Николаевич обернулся всем телом к Шеину — Я тебе говорил, что мы не ошиблись Худые, нервные пальцы Желткова забегали по борту коричневого короткого пиджачка, застегивая и расстегивая пуговицы	2.4157432416192615
218	219	И сказал он это так просто, почтительно, без тени вызова или рисовки, глядя прямо в глаза начальнику своими ясными, твердыми глазами, что его, вместо того чтобы самого расстрелять, оставили в покое В войну 1877—1879 годов он очень быстро дослужился до чина полковника, несмотря на то что был мало образован или, как он сам выражался, кончил только «медвежью академию»	2.4156031374340046
624	625	На что уж мы легко глядели на эти домашние романы, но даже и нас коробило	2.4147609434724155
772	773	— Первая дверь налево Булат-Тугановский постучал три раза коротко и решительно	2.412181204404166
511	512	Дышит — грудь так и ходит под кофточкой	2.410556634932379
356	357	Со своим непоколебимым спокойствием он показывал, например: «Историю любовных похождений храброго генерала Аносова в Турции, Болгарии и других странах»; «Приключение петиметра князя Николя Булат-Тугановского в Монте-Карло» и так далее — Сейчас увидите, господа, краткое жизнеописание нашей возлюбленной сестры Людмилы Львовны, — говорил он, бросая быстрый смешливый взгляд на сестру	2.4099814843055456
240	241	он и сблизился с семьей Тугановских и такими тесными узами привязался к детям, что для него стало душевной потребностью видеть их каждый вечер	2.4095130340851916
555	556	Желание быть хозяйкой, главною в доме, дамой, самостоятельной	2.409360812054076
322	323	Все знали, что если не усадить Густава Ивановича за карты, то он целый вечер будет ходить около жены, как пришитый, скаля свои гнилые зубы на лице черепа и портя жене настроение духа Теперь вечер потек ровно, без принуждения, оживленно	2.408316665483132
145	146	Даже страшно Анна, до жадности любопытная ко всему, что ее касалось и что не касалось, сейчас же потребовала, чтобы ей принесли показать морского петуха Пришел высокий, бритый, желтолицый повар Лука с большой продолговатой белой лоханью, которую он с трудом, осторожно держал за ушки, боясь расплескать воду на паркет — Двенадцать с половиною фунтов, ваше сиятельство, — сказал он с особенной поварской гордостью	2.4079774487373458
382	383	Конечно, со временем здесь будут стихотворные объяснения к рисункам Вася Шеин, рыдая, возвращает Вере обручальное кольцо	2.406789851055075
563	564	Кроме того, бывают иногда и мысли о приданом	2.4052593101648942
987	988	Я ухожу один, молча, так угодно было богу и судьбе	2.404917338938379
305	306	Я краснею при воспоминании о моей дерзости семь лет тому назад, когда Вам, барышне, я осмеливался писать глупые и дикие письма и даже ожидать ответа на них	2.4039968983191624
104	105	Прелесть	2.403549454032318
1003	1004	Успокойся, я с тобой	2.403549454032318
973	974	2	2.403549454032318
518	519	Ну и готово	2.403549454032318
865	866	Если кончил, так кончил	2.403549454032318
821	822	Я слушаю	2.403549454032318
169	170	подождите	2.403549454032318
570	571	Он хороший парень	2.403549454032318
1009	1010	Успокойся	2.403549454032318
417	418	Ты посмотри только, как розы-то пахнут	2.4035494540323175
238	239	Аносов немедленно распоряжался, чтобы бедняге носили обед из комендантского дома, от которого до гауптвахты было не более двухсот шагов В г	2.4032119608739997
83	84	Я оборачиваюсь назад и говорю проводнику в восторге: «Что	2.402873505902042
783	784	Наконец он с трудом произнес, указывая на диван и неловко кланяясь: — Прошу покорно	2.402733886903859
633	634	Так втроем и жили в двумужественном браке — точно это самый законный вид супружества	2.4024603155002167
512	513	Опустит ресницы, длинные-длинные такие, и вся вдруг вспыхнет	2.400876661720722
133	134	Я вчера, Анненька, просто голову потеряла	2.400876661720722
308	309	Я мысленно кланяюсь до земли мебели, на которой Вы сидите, паркету, по которому Вы ходите, деревьям, которые Вы мимоходом трогаете, прислуге, с которой Вы говорите	2.4007797105191946
355	356	Все четверо смеялись от души, и это понемногу перетянуло сюда гостей, не занятых картами Альбом служил как бы дополнением, иллюстрацией к сатирическим рассказам князя Василия	2.398481099224477
118	119	Приблизительно конец семнадцатого века, середина восемнадцатого — Как странно, — сказала Вера с задумчивой улыбкой	2.3980924927921192
